#separator:Tab
#html:false
#tags column:7
#columns:ID	Front	Back	Scope	Note	Source	Tags
cn-admin-case-filing:en-zh	case filing for an administrative penalty	行政处罚立案	来源地区 INTERNATIONAL / 法域 CN / 中华人民共和国行政处罚法（2021修订）	行政机关发现涉嫌应受行政处罚的行为并符合立案标准时，将案件正式纳入调查处理程序的步骤。 第五十四条把全面、客观、公正调查与符合立案标准时及时立案并列规定；“立案”并不意味着违法事实已经最终认定。 项目释译，非官方译文；case filing 在此表示行政处罚执法流程中的立案，不等同于法院 docketing。	oll-cn-admin-labor:cn-admin-case-filing | 中华人民共和国行政处罚法（2021修订） 第54条 https://fgk.chinatax.gov.cn/zcfgk/c100009/c5211778/content.html	OpenLegalLexicon origin::INTERNATIONAL review::project_authored domain::administrative jurisdiction::CN
cn-admin-defense-right:zh-en	申辩权	right to present a defense	来源地区 INTERNATIONAL / 法域 CN / 中华人民共和国行政处罚法（2021修订）	行政处罚程序中，当事人针对拟处罚事实、理由、依据或证据提出辩解和反驳的程序性权利。 行政机关必须复核当事人提出的事实、理由和证据；成立的应予采纳，并不得因申辩而给予更重处罚。 项目释译，非官方译文；present a defense 用于突出对拟处罚事项的辩解，不把该权利等同于刑事辩护权。	oll-cn-admin-labor:cn-admin-defense-right | 中华人民共和国行政处罚法（2021修订） 第7,44,45条 https://fgk.chinatax.gov.cn/zcfgk/c100009/c5211778/content.html	OpenLegalLexicon origin::INTERNATIONAL review::project_authored domain::administrative jurisdiction::CN
cn-admin-defense-right:en-zh	right to present a defense	申辩权	来源地区 INTERNATIONAL / 法域 CN / 中华人民共和国行政处罚法（2021修订）	行政处罚程序中，当事人针对拟处罚事实、理由、依据或证据提出辩解和反驳的程序性权利。 行政机关必须复核当事人提出的事实、理由和证据；成立的应予采纳，并不得因申辩而给予更重处罚。 项目释译，非官方译文；present a defense 用于突出对拟处罚事项的辩解，不把该权利等同于刑事辩护权。	oll-cn-admin-labor:cn-admin-defense-right | 中华人民共和国行政处罚法（2021修订） 第7,44,45条 https://fgk.chinatax.gov.cn/zcfgk/c100009/c5211778/content.html	OpenLegalLexicon origin::INTERNATIONAL review::project_authored domain::administrative jurisdiction::CN
cn-admin-on-the-spot-decision:zh-en	当场作出行政处罚决定	on-the-spot administrative penalty decision	来源地区 INTERNATIONAL / 法域 CN / 中华人民共和国行政处罚法（2021修订）	在违法事实确凿且有法定依据，并符合本法规定的处罚种类和数额条件时，由执法主体当场作出行政处罚决定的处理方式。 现行条文规定，对公民二百元以下、对法人或其他组织三千元以下罚款或者警告等符合条件的情形，可以当场决定；法律另有规定的从其规定。 项目释译，非官方译文；on-the-spot decision 描述第五十一条的当场决定机制，不把所有简化程序一概译为 summary proceeding。	oll-cn-admin-labor:cn-admin-on-the-spot-decision | 中华人民共和国行政处罚法（2021修订） 第51条 https://fgk.chinatax.gov.cn/zcfgk/c100009/c5211778/content.html	OpenLegalLexicon origin::INTERNATIONAL review::project_authored domain::administrative jurisdiction::CN
cn-admin-on-the-spot-decision:en-zh	on-the-spot administrative penalty decision	当场作出行政处罚决定	来源地区 INTERNATIONAL / 法域 CN / 中华人民共和国行政处罚法（2021修订）	在违法事实确凿且有法定依据，并符合本法规定的处罚种类和数额条件时，由执法主体当场作出行政处罚决定的处理方式。 现行条文规定，对公民二百元以下、对法人或其他组织三千元以下罚款或者警告等符合条件的情形，可以当场决定；法律另有规定的从其规定。 项目释译，非官方译文；on-the-spot decision 描述第五十一条的当场决定机制，不把所有简化程序一概译为 summary proceeding。	oll-cn-admin-labor:cn-admin-on-the-spot-decision | 中华人民共和国行政处罚法（2021修订） 第51条 https://fgk.chinatax.gov.cn/zcfgk/c100009/c5211778/content.html	OpenLegalLexicon origin::INTERNATIONAL review::project_authored domain::administrative jurisdiction::CN
cn-admin-penalty:zh-en	行政处罚	administrative penalty	来源地区 INTERNATIONAL / 法域 CN / 中华人民共和国行政处罚法（2021修订）	行政机关针对违反行政管理秩序的行为，依法通过减损权益或者增加义务实施的惩戒。 判断某项措施是否属于行政处罚，重点看其是否针对违反行政管理秩序的行为，并具有依法惩戒、减损权益或增加义务的性质。 项目释译，非官方译文；本项目用 administrative penalty 对应《行政处罚法》中的法定概念，避免与泛指制裁的 sanction 混用。	oll-cn-admin-labor:cn-admin-penalty | 中华人民共和国行政处罚法（2021修订） 第2条 https://fgk.chinatax.gov.cn/zcfgk/c100009/c5211778/content.html	OpenLegalLexicon origin::INTERNATIONAL review::project_authored domain::administrative jurisdiction::CN
cn-admin-penalty:en-zh	administrative penalty	行政处罚	来源地区 INTERNATIONAL / 法域 CN / 中华人民共和国行政处罚法（2021修订）	行政机关针对违反行政管理秩序的行为，依法通过减损权益或者增加义务实施的惩戒。 判断某项措施是否属于行政处罚，重点看其是否针对违反行政管理秩序的行为，并具有依法惩戒、减损权益或增加义务的性质。 项目释译，非官方译文；本项目用 administrative penalty 对应《行政处罚法》中的法定概念，避免与泛指制裁的 sanction 混用。	oll-cn-admin-labor:cn-admin-penalty | 中华人民共和国行政处罚法（2021修订） 第2条 https://fgk.chinatax.gov.cn/zcfgk/c100009/c5211778/content.html	OpenLegalLexicon origin::INTERNATIONAL review::project_authored domain::administrative jurisdiction::CN
cn-admin-penalty-hearing:zh-en	行政处罚听证	administrative penalty hearing	来源地区 INTERNATIONAL / 法域 CN / 中华人民共和国行政处罚法（2021修订）	对法定较重行政处罚决定，在当事人依法要求时由行政机关组织的听证程序。 法定情形包括较大数额罚款、较大数额没收、降低资质等级或吊销许可证件、责令停产停业等；当事人不承担行政机关组织听证的费用。 项目释译，非官方译文；hearing 指行政处罚法规定的程序性听证，不等同于法院 trial。	oll-cn-admin-labor:cn-admin-penalty-hearing | 中华人民共和国行政处罚法（2021修订） 第63条 https://fgk.chinatax.gov.cn/zcfgk/c100009/c5211778/content.html	OpenLegalLexicon origin::INTERNATIONAL review::project_authored domain::administrative jurisdiction::CN
cn-admin-penalty-hearing:en-zh	administrative penalty hearing	行政处罚听证	来源地区 INTERNATIONAL / 法域 CN / 中华人民共和国行政处罚法（2021修订）	对法定较重行政处罚决定，在当事人依法要求时由行政机关组织的听证程序。 法定情形包括较大数额罚款、较大数额没收、降低资质等级或吊销许可证件、责令停产停业等；当事人不承担行政机关组织听证的费用。 项目释译，非官方译文；hearing 指行政处罚法规定的程序性听证，不等同于法院 trial。	oll-cn-admin-labor:cn-admin-penalty-hearing | 中华人民共和国行政处罚法（2021修订） 第63条 https://fgk.chinatax.gov.cn/zcfgk/c100009/c5211778/content.html	OpenLegalLexicon origin::INTERNATIONAL review::project_authored domain::administrative jurisdiction::CN
cn-admin-penalty-types:zh-en	行政处罚的种类	types of administrative penalties	来源地区 INTERNATIONAL / 法域 CN / 中华人民共和国行政处罚法（2021修订）	法律列举的行政处罚类别，包括警告或通报批评、罚款或没收、许可证和资质措施、经营限制、行政拘留以及法律行政法规规定的其他处罚。 行政处罚并不等于罚款；判断具体措施时要先核对其是否落入法定处罚类别以及是否有设定依据。 项目释译，非官方译文；types of administrative penalties 指法定类别，不表示项目对任一具体措施已经完成定性。	oll-cn-admin-labor:cn-admin-penalty-types | 中华人民共和国行政处罚法（2021修订） 第9条 https://fgk.chinatax.gov.cn/zcfgk/c100009/c5211778/content.html	OpenLegalLexicon origin::INTERNATIONAL review::project_authored domain::administrative jurisdiction::CN
cn-admin-penalty-types:en-zh	types of administrative penalties	行政处罚的种类	来源地区 INTERNATIONAL / 法域 CN / 中华人民共和国行政处罚法（2021修订）	法律列举的行政处罚类别，包括警告或通报批评、罚款或没收、许可证和资质措施、经营限制、行政拘留以及法律行政法规规定的其他处罚。 行政处罚并不等于罚款；判断具体措施时要先核对其是否落入法定处罚类别以及是否有设定依据。 项目释译，非官方译文；types of administrative penalties 指法定类别，不表示项目对任一具体措施已经完成定性。	oll-cn-admin-labor:cn-admin-penalty-types | 中华人民共和国行政处罚法（2021修订） 第9条 https://fgk.chinatax.gov.cn/zcfgk/c100009/c5211778/content.html	OpenLegalLexicon origin::INTERNATIONAL review::project_authored domain::administrative jurisdiction::CN
cn-admin-prior-notice:zh-en	行政处罚事先告知	prior notice of an administrative penalty	来源地区 INTERNATIONAL / 法域 CN / 中华人民共和国行政处罚法（2021修订）	行政机关在作出行政处罚决定前，将拟处罚内容及其事实、理由、依据和当事人依法享有的程序权利告知当事人的程序。 事先告知发生在处罚决定作出之前，告知内容不仅包括拟处罚结果，还包括事实、理由、依据及陈述、申辩、听证等权利。 项目释译，非官方译文；prior notice 强调决定前的程序性告知，不等同于处罚决定书的送达。	oll-cn-admin-labor:cn-admin-prior-notice | 中华人民共和国行政处罚法（2021修订） 第44条 https://fgk.chinatax.gov.cn/zcfgk/c100009/c5211778/content.html	OpenLegalLexicon origin::INTERNATIONAL review::project_authored domain::administrative jurisdiction::CN
cn-admin-prior-notice:en-zh	prior notice of an administrative penalty	行政处罚事先告知	来源地区 INTERNATIONAL / 法域 CN / 中华人民共和国行政处罚法（2021修订）	行政机关在作出行政处罚决定前，将拟处罚内容及其事实、理由、依据和当事人依法享有的程序权利告知当事人的程序。 事先告知发生在处罚决定作出之前，告知内容不仅包括拟处罚结果，还包括事实、理由、依据及陈述、申辩、听证等权利。 项目释译，非官方译文；prior notice 强调决定前的程序性告知，不等同于处罚决定书的送达。	oll-cn-admin-labor:cn-admin-prior-notice | 中华人民共和国行政处罚法（2021修订） 第44条 https://fgk.chinatax.gov.cn/zcfgk/c100009/c5211778/content.html	OpenLegalLexicon origin::INTERNATIONAL review::project_authored domain::administrative jurisdiction::CN
cn-admin-reconsideration:zh-en	行政复议	administrative reconsideration	来源地区 INTERNATIONAL / 法域 CN / 中华人民共和国行政复议法（2023修订）	公民、法人或者其他组织认为行政行为侵犯其合法权益时，依法向行政复议机关申请，由行政复议机关办理复议案件的行政救济制度。 行政复议针对行政行为展开法定复审；对复议决定不服原则上仍可依法提起行政诉讼，但法律规定最终裁决的除外。 项目释译，非官方译文；administrative reconsideration 用于中国法上的行政复议，不直接替换为 judicial review。	oll-cn-admin-labor:cn-admin-reconsideration | 中华人民共和国行政复议法（2023修订） 第2,10条 https://jiangsu.chinatax.gov.cn/art/2023/9/1/art_23636_1030.html	OpenLegalLexicon origin::INTERNATIONAL review::project_authored domain::administrative domain::dispute_resolution jurisdiction::CN
cn-admin-reconsideration:en-zh	administrative reconsideration	行政复议	来源地区 INTERNATIONAL / 法域 CN / 中华人民共和国行政复议法（2023修订）	公民、法人或者其他组织认为行政行为侵犯其合法权益时，依法向行政复议机关申请，由行政复议机关办理复议案件的行政救济制度。 行政复议针对行政行为展开法定复审；对复议决定不服原则上仍可依法提起行政诉讼，但法律规定最终裁决的除外。 项目释译，非官方译文；administrative reconsideration 用于中国法上的行政复议，不直接替换为 judicial review。	oll-cn-admin-labor:cn-admin-reconsideration | 中华人民共和国行政复议法（2023修订） 第2,10条 https://jiangsu.chinatax.gov.cn/art/2023/9/1/art_23636_1030.html	OpenLegalLexicon origin::INTERNATIONAL review::project_authored domain::administrative domain::dispute_resolution jurisdiction::CN
cn-admin-reconsideration-application:zh-en	行政复议申请	application for administrative reconsideration	来源地区 INTERNATIONAL / 法域 CN / 中华人民共和国行政复议法（2023修订）	申请人请求行政复议机关依法对其不服的行政行为启动行政复议程序的申请。 申请可以书面提出，书面申请有困难时也可以口头提出；对两个以上行政行为不服的，应分别申请。 项目释译，非官方译文；application 同时可指申请行为和申请事项，具体文书可写 application for administrative reconsideration。	oll-cn-admin-labor:cn-admin-reconsideration-application | 中华人民共和国行政复议法（2023修订） 第20,22条 https://jiangsu.chinatax.gov.cn/art/2023/9/1/art_23636_1030.html	OpenLegalLexicon origin::INTERNATIONAL review::project_authored domain::administrative domain::dispute_resolution jurisdiction::CN
cn-admin-reconsideration-application:en-zh	application for administrative reconsideration	行政复议申请	来源地区 INTERNATIONAL / 法域 CN / 中华人民共和国行政复议法（2023修订）	申请人请求行政复议机关依法对其不服的行政行为启动行政复议程序的申请。 申请可以书面提出，书面申请有困难时也可以口头提出；对两个以上行政行为不服的，应分别申请。 项目释译，非官方译文；application 同时可指申请行为和申请事项，具体文书可写 application for administrative reconsideration。	oll-cn-admin-labor:cn-admin-reconsideration-application | 中华人民共和国行政复议法（2023修订） 第20,22条 https://jiangsu.chinatax.gov.cn/art/2023/9/1/art_23636_1030.html	OpenLegalLexicon origin::INTERNATIONAL review::project_authored domain::administrative domain::dispute_resolution jurisdiction::CN
cn-admin-reconsideration-authority:zh-en	行政复议机关	administrative reconsideration authority	来源地区 INTERNATIONAL / 法域 CN / 中华人民共和国行政复议法（2023修订）	依照行政复议法履行行政复议职责的县级以上各级人民政府以及其他法定行政机关。 “行政复议机关”是依法承担复议职责的行政机关，与具体承办复议事项的“行政复议机构”应区分。 项目释译，非官方译文；authority 强调依法承担复议职责的机关层级，避免与内部承办机构混同。	oll-cn-admin-labor:cn-admin-reconsideration-authority | 中华人民共和国行政复议法（2023修订） 第4条 https://jiangsu.chinatax.gov.cn/art/2023/9/1/art_23636_1030.html	OpenLegalLexicon origin::INTERNATIONAL review::project_authored domain::administrative domain::dispute_resolution jurisdiction::CN
cn-admin-reconsideration-authority:en-zh	administrative reconsideration authority	行政复议机关	来源地区 INTERNATIONAL / 法域 CN / 中华人民共和国行政复议法（2023修订）	依照行政复议法履行行政复议职责的县级以上各级人民政府以及其他法定行政机关。 “行政复议机关”是依法承担复议职责的行政机关，与具体承办复议事项的“行政复议机构”应区分。 项目释译，非官方译文；authority 强调依法承担复议职责的机关层级，避免与内部承办机构混同。	oll-cn-admin-labor:cn-admin-reconsideration-authority | 中华人民共和国行政复议法（2023修订） 第4条 https://jiangsu.chinatax.gov.cn/art/2023/9/1/art_23636_1030.html	OpenLegalLexicon origin::INTERNATIONAL review::project_authored domain::administrative domain::dispute_resolution jurisdiction::CN
cn-admin-reconsideration-hearing:zh-en	行政复议听证	administrative reconsideration hearing	来源地区 INTERNATIONAL / 法域 CN / 中华人民共和国行政复议法（2023修订）	行政复议机构在审理重大、疑难、复杂案件时依法组织，或者在认为必要、申请人请求等情况下可以组织的听证程序。 重大、疑难、复杂案件应当组织听证；其他案件在机构认为有必要或申请人请求时可以组织。听证设主持人、听证员和记录员。 项目释译，非官方译文；administrative reconsideration hearing 与行政处罚决定前的处罚听证属于不同程序。	oll-cn-admin-labor:cn-admin-reconsideration-hearing | 中华人民共和国行政复议法（2023修订） 第50条 https://jiangsu.chinatax.gov.cn/art/2023/9/1/art_23636_1030.html	OpenLegalLexicon origin::INTERNATIONAL review::project_authored domain::administrative domain::dispute_resolution jurisdiction::CN
cn-admin-reconsideration-hearing:en-zh	administrative reconsideration hearing	行政复议听证	来源地区 INTERNATIONAL / 法域 CN / 中华人民共和国行政复议法（2023修订）	行政复议机构在审理重大、疑难、复杂案件时依法组织，或者在认为必要、申请人请求等情况下可以组织的听证程序。 重大、疑难、复杂案件应当组织听证；其他案件在机构认为有必要或申请人请求时可以组织。听证设主持人、听证员和记录员。 项目释译，非官方译文；administrative reconsideration hearing 与行政处罚决定前的处罚听证属于不同程序。	oll-cn-admin-labor:cn-admin-reconsideration-hearing | 中华人民共和国行政复议法（2023修订） 第50条 https://jiangsu.chinatax.gov.cn/art/2023/9/1/art_23636_1030.html	OpenLegalLexicon origin::INTERNATIONAL review::project_authored domain::administrative domain::dispute_resolution jurisdiction::CN
cn-admin-reconsideration-office:zh-en	行政复议机构	administrative reconsideration office	来源地区 INTERNATIONAL / 法域 CN / 中华人民共和国行政复议法（2023修订）	行政复议机关中具体办理行政复议事项的机构，并同时组织办理该机关的行政应诉事项。 机关与机构不是同一概念：前者承担法定复议职责，后者是办理复议事项的具体机构。 项目释译，非官方译文；office 用于与 administrative reconsideration authority 区分，并不暗示统一的机构名称。	oll-cn-admin-labor:cn-admin-reconsideration-office | 中华人民共和国行政复议法（2023修订） 第4条 https://jiangsu.chinatax.gov.cn/art/2023/9/1/art_23636_1030.html	OpenLegalLexicon origin::INTERNATIONAL review::project_authored domain::administrative domain::dispute_resolution jurisdiction::CN
cn-admin-reconsideration-office:en-zh	administrative reconsideration office	行政复议机构	来源地区 INTERNATIONAL / 法域 CN / 中华人民共和国行政复议法（2023修订）	行政复议机关中具体办理行政复议事项的机构，并同时组织办理该机关的行政应诉事项。 机关与机构不是同一概念：前者承担法定复议职责，后者是办理复议事项的具体机构。 项目释译，非官方译文；office 用于与 administrative reconsideration authority 区分，并不暗示统一的机构名称。	oll-cn-admin-labor:cn-admin-reconsideration-office | 中华人民共和国行政复议法（2023修订） 第4条 https://jiangsu.chinatax.gov.cn/art/2023/9/1/art_23636_1030.html	OpenLegalLexicon origin::INTERNATIONAL review::project_authored domain::administrative domain::dispute_resolution jurisdiction::CN
cn-admin-reconsideration-oral-application:zh-en	行政复议口头申请	oral application for administrative reconsideration	来源地区 INTERNATIONAL / 法域 CN / 中华人民共和国行政复议法（2023修订）	申请人因书面申请有困难而以口头方式提出的行政复议申请，由行政复议机关当场记录法定事项。 机关记录内容包括申请人基本情况、复议请求、主要事实、理由和时间；口头申请并不意味着可以省略这些核心信息。 项目释译，非官方译文；oral application 指申请方式，不表示口头审理。	oll-cn-admin-labor:cn-admin-reconsideration-oral-application | 中华人民共和国行政复议法（2023修订） 第22条 https://jiangsu.chinatax.gov.cn/art/2023/9/1/art_23636_1030.html	OpenLegalLexicon origin::INTERNATIONAL review::project_authored domain::administrative domain::dispute_resolution jurisdiction::CN
cn-admin-reconsideration-oral-application:en-zh	oral application for administrative reconsideration	行政复议口头申请	来源地区 INTERNATIONAL / 法域 CN / 中华人民共和国行政复议法（2023修订）	申请人因书面申请有困难而以口头方式提出的行政复议申请，由行政复议机关当场记录法定事项。 机关记录内容包括申请人基本情况、复议请求、主要事实、理由和时间；口头申请并不意味着可以省略这些核心信息。 项目释译，非官方译文；oral application 指申请方式，不表示口头审理。	oll-cn-admin-labor:cn-admin-reconsideration-oral-application | 中华人民共和国行政复议法（2023修订） 第22条 https://jiangsu.chinatax.gov.cn/art/2023/9/1/art_23636_1030.html	OpenLegalLexicon origin::INTERNATIONAL review::project_authored domain::administrative domain::dispute_resolution jurisdiction::CN
cn-admin-reconsideration-ordinary-procedure:zh-en	行政复议普通程序	ordinary procedure for administrative reconsideration	来源地区 INTERNATIONAL / 法域 CN / 中华人民共和国行政复议法（2023修订）	行政复议案件适用的普通审理程序；在该程序下，行政复议机构原则上应通过当面、互联网、电话等方式听取当事人意见并记录在案。 因当事人原因不能听取意见的，可以书面审理；本词条只概括第四十九条体现的普通程序要求，不替代全章程序规则。 项目释译，非官方译文；ordinary procedure 用于与法律中的其他程序类型区分。	oll-cn-admin-labor:cn-admin-reconsideration-ordinary-procedure | 中华人民共和国行政复议法（2023修订） 第49条 https://jiangsu.chinatax.gov.cn/art/2023/9/1/art_23636_1030.html	OpenLegalLexicon origin::INTERNATIONAL review::project_authored domain::administrative domain::dispute_resolution jurisdiction::CN
cn-admin-reconsideration-ordinary-procedure:en-zh	ordinary procedure for administrative reconsideration	行政复议普通程序	来源地区 INTERNATIONAL / 法域 CN / 中华人民共和国行政复议法（2023修订）	行政复议案件适用的普通审理程序；在该程序下，行政复议机构原则上应通过当面、互联网、电话等方式听取当事人意见并记录在案。 因当事人原因不能听取意见的，可以书面审理；本词条只概括第四十九条体现的普通程序要求，不替代全章程序规则。 项目释译，非官方译文；ordinary procedure 用于与法律中的其他程序类型区分。	oll-cn-admin-labor:cn-admin-reconsideration-ordinary-procedure | 中华人民共和国行政复议法（2023修订） 第49条 https://jiangsu.chinatax.gov.cn/art/2023/9/1/art_23636_1030.html	OpenLegalLexicon origin::INTERNATIONAL review::project_authored domain::administrative domain::dispute_resolution jurisdiction::CN
cn-admin-reconsideration-response:zh-en	行政复议书面答复	written response in administrative reconsideration	来源地区 INTERNATIONAL / 法域 CN / 中华人民共和国行政复议法（2023修订）	行政复议中，被申请人在收到申请书副本或申请笔录复印件后，就被申请行政行为提交的书面答复。 被申请人应在收到相关副本或复印件之日起十日内提出书面答复，并提交作出行政行为的证据、依据和其他有关材料。 项目释译，非官方译文；written response 指复议程序中的答复材料，不等同于法院诉讼答辩状。	oll-cn-admin-labor:cn-admin-reconsideration-response | 中华人民共和国行政复议法（2023修订） 第48条 https://jiangsu.chinatax.gov.cn/art/2023/9/1/art_23636_1030.html	OpenLegalLexicon origin::INTERNATIONAL review::project_authored domain::administrative domain::dispute_resolution jurisdiction::CN
cn-admin-reconsideration-response:en-zh	written response in administrative reconsideration	行政复议书面答复	来源地区 INTERNATIONAL / 法域 CN / 中华人民共和国行政复议法（2023修订）	行政复议中，被申请人在收到申请书副本或申请笔录复印件后，就被申请行政行为提交的书面答复。 被申请人应在收到相关副本或复印件之日起十日内提出书面答复，并提交作出行政行为的证据、依据和其他有关材料。 项目释译，非官方译文；written response 指复议程序中的答复材料，不等同于法院诉讼答辩状。	oll-cn-admin-labor:cn-admin-reconsideration-response | 中华人民共和国行政复议法（2023修订） 第48条 https://jiangsu.chinatax.gov.cn/art/2023/9/1/art_23636_1030.html	OpenLegalLexicon origin::INTERNATIONAL review::project_authored domain::administrative domain::dispute_resolution jurisdiction::CN
