中文	繁體	英文	拼音	领域	适用法域	来源地区	类型	来源语境	学习注释	来源记录	条目ID	数据许可	译文审核	中文释义	译法说明	法律依据
一般计税方法	一般計稅方法	general VAT calculation method	yi4 ban1 ji4 shui4 fang1 fa3	tax	CN	INTERNATIONAL	term	中华人民共和国增值税法（2024通过）	第八条将一般计税方法作为纳税人发生应税交易的基本方法，但法律另有规定的除外；第十四条给出应纳税额计算公式。	oll-cn-tax-trade:cn-vat-general-calculation-method	cn-vat-general-calculation-method	CC-BY-4.0	project_authored	以当期销项税额抵扣当期进项税额后的余额计算增值税应纳税额的计税方法。	项目释译，非官方译文；general VAT calculation method 用于区别简易计税方法。	中华人民共和国增值税法（2024通过） 第8,14条 https://fgk.chinatax.gov.cn/zcfgk/c100009/c5237365/content.html
一般诽谤	一般誹謗	slander	yi4 ban1 fei3 bang4	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:7	tw-judicial-a8334a53a05d4cb2e68d	OGDL-Taiwan-1.0	source_attributed			
一行为重复处罚	一行為重複處罰	double jeopardy ; Ne bis in idem	yi1 xing2 wei2 chong2 fu4 chu3 fa2	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:5	tw-judicial-ee02c78e19adb82ef66c	OGDL-Taiwan-1.0	source_attributed			
一造当事人的程序	一造當事人的程序	ex parte proceeding	yi1 zao4 dang1 shi4 ren2 de5 cheng2 xu4	intellectual_property	待核查	TW	unclassified	A13070000G		tw-tipo-trademark:201	tw-tipo-trademark-c32398e718c4f5df76f0	OGDL-Taiwan-1.0	source_attributed			
七十九年特种考试台湾省基层公务人员考试规则	七十九年特種考試台灣省基層公務人員考試規則	Regulations for Taiwan Province Basic-Level 1990 Civil Servants Specific Examination	qi1 shi2 jiu3 nian2 te4 zhong3 kao3 shi4 tai2 wan1 sheng3 ji1 ceng2 gong1 wu4 ren2 yuan2 kao3 shi4 gui1 ze2	unclassified	待核查	TW	statute	憲法法庭書記廳		tw-judicial:8	tw-judicial-45d204e62762c13144b7	OGDL-Taiwan-1.0	source_attributed			
万国邮政公约最后议定书	萬國郵政公約最後議定書	Final Protocol of Universal Postal Convention	wan4 guo2 you2 zheng4 gong1 yue1 zui4 hou4 yi4 ding4 shu1	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1567	tw-judicial-fe88f7c4f1ee111eecd3	OGDL-Taiwan-1.0	source_attributed			
三次元的、立体的	三次元的、立體的	three dimensional		intellectual_property	待核查	TW	unclassified	A13070000G		tw-tipo-trademark:555	tw-tipo-trademark-1ef562ea7f214e99ce1a	OGDL-Taiwan-1.0	source_attributed			
上市证券	上市證券	listed securities	shang4 shi4 zheng4 quan4	finance	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:24	tw-judicial-cc591ed5a1525e326833	OGDL-Taiwan-1.0	source_attributed			
上柜证券	上櫃證券	over-the-counter securities	shang4 gui4 zheng4 quan4	finance	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:29	tw-judicial-7f874195018b780c3f7b	OGDL-Taiwan-1.0	source_attributed			
上诉	上訴	appeal	shang4 su4	dispute_resolution	待核查	TW	unclassified	民事廳		tw-judicial:25	tw-judicial-c2ad5e1e8e8973156eac	OGDL-Taiwan-1.0	source_attributed			
上诉	上訴	appeal	shang4 su4	intellectual_property	待核查	TW	unclassified	A13070000G		tw-tipo-trademark:27	tw-tipo-trademark-2a3d66098325b5263797	OGDL-Taiwan-1.0	source_attributed			
上诉/抗告权	上訴/抗告權	right of appeal		dispute_resolution	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:26	tw-judicial-6f0f3157955ea24785bf	OGDL-Taiwan-1.0	source_attributed			
上诉事件维持率	上訴事件維持率	Affirmed Appeals Rate	shang4 su4 shi4 jian4 wei2 chi2 lv4	dispute_resolution	待核查	TW	unclassified	統計處		tw-judicial:28	tw-judicial-f83088a5f880c367c7cf	OGDL-Taiwan-1.0	source_attributed			
上诉人及诉讼代理人席	上訴人及訴訟代理人席	Appellant and Agent ad litem	shang4 su4 ren2 ji2 su4 song4 dai4 li3 ren2 xi2	dispute_resolution	待核查	TW	unclassified	司法行政廳		tw-judicial:27	tw-judicial-c3032e15654ab472ec92	OGDL-Taiwan-1.0	source_attributed			
上诉法院	上訴法院	appeal court	shang4 su4 fa3 yuan4	intellectual_property	待核查	TW	institution	A13070000G		tw-tipo-trademark:28	tw-tipo-trademark-9d1748201da7d127d54d	OGDL-Taiwan-1.0	source_attributed			
下水道法	下水道法	Sewerage Law	xia4 shui3 dao4 fa3	unclassified	待核查	TW	statute	憲法法庭書記廳		tw-judicial:23	tw-judicial-1da68b391fb4340115ac	OGDL-Taiwan-1.0	source_attributed			
不作为	不作為	omission of act	bu4 zuo4 wei2	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:82	tw-judicial-b137b1326c960a482e30	OGDL-Taiwan-1.0	source_attributed			
不信任案	不信任案	bill of no confidence	bu4 xin4 ren4 an4	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:84	tw-judicial-fecf2903cf406ee1c49b	OGDL-Taiwan-1.0	source_attributed			
不充分的、不足的	不充分的、不足的	insufficient (+for/in)		intellectual_property	待核查	TW	unclassified	A13070000G		tw-tipo-trademark:309	tw-tipo-trademark-3b4c351b6051f72f550f	OGDL-Taiwan-1.0	source_attributed			
不公平竞争	不公平競爭	unfair competition	bu4 gong1 ping2 jing4 zheng1	intellectual_property	待核查	TW	unclassified	A13070000G		tw-tipo-trademark:582	tw-tipo-trademark-162d69fb05824f1e23c3	OGDL-Taiwan-1.0	source_attributed			
不公平竞争行为	不公平競爭行為	conducts of unfair competition	bu4 gong1 ping2 jing4 zheng1 xing2 wei2	competition	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:78	tw-judicial-0bdd09a3537a6a845512	OGDL-Taiwan-1.0	source_attributed			
不动产	不動產	real property	bu4 dong4 chan3	property	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:86	tw-judicial-36b6b4263ed4e273d4ca	OGDL-Taiwan-1.0	source_attributed			
不动产估价师法	不動產估價師法	Real Estate Appraiser Act	bu4 dong4 chan3 gu1 jia4 shi1 fa3	property	待核查	TW	statute	憲法法庭書記廳		tw-judicial:87	tw-judicial-82c4a917be8a64db5ea0	OGDL-Taiwan-1.0	source_attributed			
不动产权利变更登记	不動產權利變更登記	amendment registration of right to real estate	bu4 dong4 chan3 quan2 li4 bian4 geng1 deng1 ji4	property	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:89	tw-judicial-38453ef2ecdc6988c6e0	OGDL-Taiwan-1.0	source_attributed			
不动产经纪业管理条例	不動產經紀業管理條例	Real Estate Broking Management Act	bu4 dong4 chan3 jing1 ji4 ye4 guan3 li3 tiao2 li4	property	待核查	TW	statute	憲法法庭書記廳		tw-judicial:88	tw-judicial-ac18263ee70b4b57efdf	OGDL-Taiwan-1.0	source_attributed			
不受理判决	不受理判決	dismissal judgment	bu4 shou4 li3 pan4 jue2	dispute_resolution	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:83	tw-judicial-01af4570ba95b1e6f13f	OGDL-Taiwan-1.0	source_attributed			
不变期间	不變期間	peremptory period	bu4 bian4 qi1 jian1	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:94	tw-judicial-38e8a113843a9b68379f	OGDL-Taiwan-1.0	source_attributed			
不可废止性	不可廢止性	irrevocability	bu4 ke3 fei4 zhi3 xing4	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:81	tw-judicial-0e15c58cb13af72beeda	OGDL-Taiwan-1.0	source_attributed			
不可抗力	不可抗力	force majeure	bu4 ke3 kang4 li4	civil,contracts	CN	INTERNATIONAL	term	中华人民共和国民法典（2020）	合同责任是否免除取决于其影响；迟延履行后发生不可抗力的，不免除相应违约责任。	oll-cn-core:cn-force-majeure	cn-force-majeure	CC-BY-4.0	project_authored	不能预见、不能避免且不能克服的客观情况。	项目释译，非官方译文；不是所有困难、成本增加或不可控事件都当然满足本定义。	中华人民共和国民法典（2020） 第180,590条 https://www.court.gov.cn/zixun/xiangqing/233181.html
不可抗力	不可抗力	force majeure	bu4 ke3 kang4 li4	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:79	tw-judicial-8c595a0664bbb33f8335	OGDL-Taiwan-1.0	source_attributed			
不可能实行	不可能實行	infeasibility	bu4 ke3 neng2 shi2 xing2	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:80	tw-judicial-0a86de231c52a7426c27	OGDL-Taiwan-1.0	source_attributed			
不堪同居之虐待	不堪同居之虐待	unbearable mistreatment incohabitation	bu4 kan1 tong2 ju1 zhi1 nve4 dai4	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:91	tw-judicial-6cf3c2b54a35b505a864	OGDL-Taiwan-1.0	source_attributed			
不当得利	不當得利	unjust enrichment	bu4 dang4 de2 li4	civil	CN	INTERNATIONAL	term	中华人民共和国民法典（2020）	受损失者可请求返还不当利益；不当并不必然等于故意违法。	oll-cn-core:cn-unjust-enrichment	cn-unjust-enrichment	CC-BY-4.0	project_authored	没有法律根据取得利益，并使他人受到损失的情形。	项目释译，非官方译文；按所引中国法条理解，不能直接套用其他法域的全部构成要件。	中华人民共和国民法典（2020） 第122条 https://www.court.gov.cn/zixun/xiangqing/233181.html
不当行为	不當行為	improper conduct	bu4 dang4 xing2 wei2	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:92	tw-judicial-856c2b5096d13d9a21ac	OGDL-Taiwan-1.0	source_attributed			
不得抗告／上诉	不得抗告／上訴	non-appealable		dispute_resolution	待核查	TW	unclassified	民事廳		tw-judicial:90	tw-judicial-08448f8e25b88290f047	OGDL-Taiwan-1.0	source_attributed			
不正确的、谬误的、不真实的	不正確的、謬誤的、不真實的	false		intellectual_property	待核查	TW	unclassified	A13070000G		tw-tipo-trademark:212	tw-tipo-trademark-950587d93e30589d0a2f	OGDL-Taiwan-1.0	source_attributed			
不确定法律概念	不確定法律概念	indefinite concepts of law	bu4 que4 ding4 fa3 lv4 gai4 nian4	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:93	tw-judicial-5b94b8482ccd96e1bebd	OGDL-Taiwan-1.0	source_attributed			
不起诉处分	不起訴處分	non-prosecutorial disposition	bu4 qi3 su4 chu3 fen4	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:85	tw-judicial-3b14f04a68f275027e41	OGDL-Taiwan-1.0	source_attributed			
不道德的、伤风败俗的、邪恶的	不道德的、傷風敗俗的、邪惡的	immoral		intellectual_property	待核查	TW	unclassified	A13070000G		tw-tipo-trademark:282	tw-tipo-trademark-b70613a7e966206223d8	OGDL-Taiwan-1.0	source_attributed			
与…相反的	與…相反的	counter with		intellectual_property	待核查	TW	unclassified	A13070000G		tw-tipo-trademark:118	tw-tipo-trademark-6c8c9c25c71417c0757d	OGDL-Taiwan-1.0	source_attributed			
与…近似	與…近似	similar		intellectual_property	待核查	TW	unclassified	A13070000G		tw-tipo-trademark:513	tw-tipo-trademark-26635aa2f8732463388e	OGDL-Taiwan-1.0	source_attributed			
与…近似	與…近似	be similar to		intellectual_property	待核查	TW	unclassified	A13070000G		tw-tipo-trademark:514	tw-tipo-trademark-fe25565efaa9d80daa0b	OGDL-Taiwan-1.0	source_attributed			
与证人对质之权利	與證人對質之權利	right to confront with the witness	yu3 zheng4 ren2 dui4 zhi4 zhi1 quan2 li4	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1759	tw-judicial-6a01f672a87bea64936c	OGDL-Taiwan-1.0	source_attributed			
与贸易有关之智慧财产权协定	與貿易有關之智慧財產權協定	AGREEMENT ON TRADE-RELATED ASPECTS OF INTELLECTUAL PROPERTY RIGHTS	yu3 mao4 yi4 you3 guan1 zhi1 zhi4 hui4 cai2 chan3 quan2 xie2 ding4	intellectual_property	待核查	TW	unclassified	A13070000G		tw-tipo-trademark:571	tw-tipo-trademark-a2be784c1148dcd032fa	OGDL-Taiwan-1.0	source_attributed			
与贸易有关之智慧财产权协定	與貿易有關之智慧財產權協定	TRIPS	yu3 mao4 yi4 you3 guan1 zhi1 zhi4 hui4 cai2 chan3 quan2 xie2 ding4	intellectual_property	待核查	TW	abbreviation	A13070000G		tw-tipo-trademark:570	tw-tipo-trademark-a525a8c70487f19c744c	OGDL-Taiwan-1.0	source_attributed			
专业人员	專業人員	professionals	zhuan1 ye4 ren2 yuan2	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1248	tw-judicial-a53bf7233fa4b56607c0	OGDL-Taiwan-1.0	source_attributed			
专业评量之原则	專業評量之原則	principle of expertise evaluation	zhuan1 ye4 ping2 liang4 zhi1 yuan2 ze2	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1249	tw-judicial-060c2086441f742f2b94	OGDL-Taiwan-1.0	source_attributed			
专利	專利	patent	zhuan1 li4	intellectual_property	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1241	tw-judicial-8615f43cfb52cd9707bd	OGDL-Taiwan-1.0	source_attributed			
专利权人	專利權人	patentee	zhuan1 li4 quan2 ren2	intellectual_property	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1243	tw-judicial-d9ee45f4be0412c22f83	OGDL-Taiwan-1.0	source_attributed			
专利法	專利法	Patent Act	zhuan1 li4 fa3	intellectual_property	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1242	tw-judicial-2bba6374a3b77df26927	OGDL-Taiwan-1.0	source_attributed			
专员	專員	Executive Officer	zhuan1 yuan2	unclassified	待核查	TW	unclassified	司法行政廳		tw-judicial:1247	tw-judicial-0a8fd357060f8a3cbc63	OGDL-Taiwan-1.0	source_attributed			
专科学校法	專科學校法	Junior College Act	zhuan1 ke1 xue2 xiao4 fa3	unclassified	待核查	TW	statute	憲法法庭書記廳		tw-judicial:1246	tw-judicial-17af38d4e6af39aed36a	OGDL-Taiwan-1.0	source_attributed			
专门化、特殊化	專門化、特殊化	specialization		intellectual_property	待核查	TW	unclassified	A13070000G		tw-tipo-trademark:532	tw-tipo-trademark-f86b60cf798c9920d856	OGDL-Taiwan-1.0	source_attributed			
专门委员	專門委員	Senior Executive Officer	zhuan1 men2 wei3 yuan2	unclassified	待核查	TW	unclassified	司法行政廳		tw-judicial:1244	tw-judicial-38a8167c74417ef040ac	OGDL-Taiwan-1.0	source_attributed			
专门职业	專門職業	professional services	zhuan1 men2 zhi2 ye4	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:1245	tw-judicial-fa260871c7d300c8cbaf	OGDL-Taiwan-1.0	source_attributed			
世故且精明的	世故且精明的	sophisticated	shi4 gu4 qie3 jing1 ming2 de5	intellectual_property	待核查	TW	unclassified	A13070000G		tw-tipo-trademark:520	tw-tipo-trademark-0bbf90f4ac110a134ee0	OGDL-Taiwan-1.0	source_attributed			
世故精明且绝不会被混淆	世故精明且絕不會被混淆	sophisticated and would never be confused	shi4 gu4 jing1 ming2 qie3 jue2 bu2 hui4 bei4 hun4 xiao2	intellectual_property	待核查	TW	unclassified	A13070000G		tw-tipo-trademark:521	tw-tipo-trademark-094c072737f827be9cc5	OGDL-Taiwan-1.0	source_attributed			
世界智慧财产权组织	世界智慧財產權組織	World Intellectual Property Organization	shi4 jie4 zhi4 hui4 cai2 chan3 quan2 zu3 zhi1	intellectual_property	待核查	TW	unclassified	A13070000G		tw-tipo-trademark:608	tw-tipo-trademark-a1b12ba601ff40ca2b73	OGDL-Taiwan-1.0	source_attributed			
世界智慧财产权组织	世界智慧財產權組織	WIPO	shi4 jie4 zhi4 hui4 cai2 chan3 quan2 zu3 zhi1	intellectual_property	待核查	TW	abbreviation	A13070000G		tw-tipo-trademark:607	tw-tipo-trademark-b47d8bd383e135155c48	OGDL-Taiwan-1.0	source_attributed			
业者、商人	業者、商人	dealer		intellectual_property	待核查	TW	unclassified	A13070000G		tw-tipo-trademark:128	tw-tipo-trademark-c23c758737d84dd8c14f	OGDL-Taiwan-1.0	source_attributed			
两性工作平等法	兩性工作平等法	Act of Gender Equality in Employment	liang3 xing4 gong1 zuo4 ping2 deng3 fa3	unclassified	待核查	TW	statute	憲法法庭書記廳		tw-judicial:694	tw-judicial-622f6f23f8ae76a7c519	OGDL-Taiwan-1.0	source_attributed			
两者随后一并转递审查官。	兩者隨後一併轉遞審查官。	Both are then forwarded to the examining attorney.		intellectual_property	待核查	TW	unclassified	A13070000G		tw-tipo-trademark:240	tw-tipo-trademark-b270b99453d8bee1d3e5	OGDL-Taiwan-1.0	source_attributed			
个人信息	個人信息	personal information	ge4 ren2 xin4 xi1	privacy	CN	INTERNATIONAL	term	中华人民共和国个人信息保护法（2021）	个人信息处理涵盖收集、存储、使用、加工、传输、提供、公开和删除等活动。	oll-cn-core:cn-personal-information	cn-personal-information	CC-BY-4.0	project_authored	以电子或其他方式记录、与已识别或可识别自然人有关的各种信息，不包括匿名化后的信息。	项目释译，非官方译文；采用本法 personal information 语境，不默认与其他法域 personal data 的边界完全相同。	中华人民共和国个人信息保护法（2021） 第4条 https://www.cac.gov.cn/2021-08/20/c_1631050028355286.htm
个人信息保护影响评估	個人信息保護影響評估	personal information protection impact assessment	ge4 ren2 xin4 xi1 bao3 hu4 ying3 xiang3 ping2 gu1	privacy	CN	INTERNATIONAL	term	中华人民共和国个人信息保护法（2021）	第五十五条列举委托处理、公开、向境外提供等触发情形，应逐项核对。	oll-cn-core:cn-pipia	cn-pipia	CC-BY-4.0	project_authored	在敏感信息、自动化决策等法定高影响处理活动前开展并记录的评估。	项目释译，非官方译文；本库可读英文保留 personal information protection，不把其他法域缩写制度直接移入。	中华人民共和国个人信息保护法（2021） 第55条 https://www.cac.gov.cn/2021-08/20/c_1631050028355286.htm
个人信息删除权	個人信息刪除權	right to erasure of personal information	ge4 ren2 xin4 xi1 shan1 chu2 quan2	privacy	CN	INTERNATIONAL	term	中华人民共和国个人信息保护法（2021）	法定保存期未届满或技术上难以删除时，处理应限制于存储及必要安全保护措施。	oll-cn-core:cn-information-erasure	cn-information-erasure	CC-BY-4.0	project_authored	符合法定删除情形而处理者未主动删除时，个人请求删除其信息的权利。	项目释译，非官方译文；不是在任何情形下都能立即彻底删除的无限制权利。	中华人民共和国个人信息保护法（2021） 第47条 https://www.cac.gov.cn/2021-08/20/c_1631050028355286.htm
个人信息处理同意	個人信息處理同意	consent to personal information processing	ge4 ren2 xin4 xi1 chu3 li3 tong2 yi4	privacy	CN	INTERNATIONAL	term	中华人民共和国个人信息保护法（2021）	同意是处理依据之一；第十三条还规定履行合同、法定义务等其他情形。	oll-cn-core:cn-consent-processing	cn-consent-processing	CC-BY-4.0	project_authored	个人在充分知情前提下自愿、明确作出的个人信息处理同意。	项目释译，非官方译文；不要表述为一切处理活动唯一的法律依据。	中华人民共和国个人信息保护法（2021） 第13,14条 https://www.cac.gov.cn/2021-08/20/c_1631050028355286.htm
个人信息处理者	個人信息處理者	personal information handler	ge4 ren2 xin4 xi1 chu3 li3 zhe3	privacy	CN	INTERNATIONAL	role	中华人民共和国个人信息保护法（2021）	关键在自主决定目的和方式；不能仅凭是否实际操作数据判断身份。	oll-cn-core:cn-information-handler	cn-information-handler	CC-BY-4.0	project_authored	在个人信息处理活动中自主决定处理目的和处理方式的组织或个人。	项目释译，非官方译文；不要将本法处理者直接等同 GDPR 的 processor。	中华人民共和国个人信息保护法（2021） 第73条 https://www.cac.gov.cn/2021-08/20/c_1631050028355286.htm
个人信息更正权	個人信息更正權	right to rectification of personal information	ge4 ren2 xin4 xi1 geng1 zheng4 quan2	privacy	CN	INTERNATIONAL	term	中华人民共和国个人信息保护法（2021）	处理者应核实并及时更正、补充；本权利针对信息准确性和完整性。	oll-cn-core:cn-information-correction	cn-information-correction	CC-BY-4.0	project_authored	个人发现信息不准确或不完整时，请求处理者更正、补充的权利。	项目释译，非官方译文；rectification 与删除权分别列示。	中华人民共和国个人信息保护法（2021） 第46条 https://www.cac.gov.cn/2021-08/20/c_1631050028355286.htm
个人身体自由	個人身體自由	individual's physical freedom	ge4 ren2 shen1 ti3 zi4 you2	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:975	tw-judicial-61d85a323b4fef914cfe	OGDL-Taiwan-1.0	source_attributed			
个别性法律	個別性法律	legislation for an isolated case (Einzellfallgesetz)	ge4 bie2 xing4 fa3 lv4	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:976	tw-judicial-fc341cf8f9594ba8ea07	OGDL-Taiwan-1.0	source_attributed			
中医师	中醫師	Chinese herb doctor	zhong1 yi1 shi1	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:115	tw-judicial-637d40ff1e3d675feb97	OGDL-Taiwan-1.0	source_attributed			
中华民国专属经济海域及大陆礁层法	中華民國專屬經濟海域及大陸礁層法	Law on the Exclusive Economic Zone and the Continental Shelf of the Republic of China	zhong1 hua2 min2 guo2 zhuan1 shu3 jing1 ji4 hai3 yu4 ji2 da4 lu4 jiao1 ceng2 fa3	unclassified	待核查	TW	statute	憲法法庭書記廳		tw-judicial:110	tw-judicial-d60709d3fa29c0fb3009	OGDL-Taiwan-1.0	source_attributed			
中华民国四十八年短期公债发行条例	中華民國四十八年短期公債發行條例	Act Governing the Issuance of 1959 Short -Term Public Bond	zhong1 hua2 min2 guo2 si4 shi2 ba1 nian2 duan3 qi1 gong1 zhai4 fa1 xing2 tiao2 li4	unclassified	待核查	TW	statute	憲法法庭書記廳		tw-judicial:108	tw-judicial-639095c50a97413895ed	OGDL-Taiwan-1.0	source_attributed			
中华民国宪法	中華民國憲法	The Constitution of the Republic of China	zhong1 hua2 min2 guo2 xian4 fa3	constitutional	待核查	TW	statute	憲法法庭書記廳		tw-judicial:112	tw-judicial-5de7d5adcd990442fa73	OGDL-Taiwan-1.0	source_attributed			
中华民国宪法增修条文	中華民國憲法增修條文	The Amendment of the Constitution of the Republic of China	zhong1 hua2 min2 guo2 xian4 fa3 zeng1 xiu1 tiao2 wen2	constitutional	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:113	tw-judicial-796af546e03f730aec12	OGDL-Taiwan-1.0	source_attributed			
中华民国总统	中華民國總統	ROC President	zhong1 hua2 min2 guo2 zong3 tong3	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:114	tw-judicial-4d72353968ed237ef1c4	OGDL-Taiwan-1.0	source_attributed			
中华民国训政时期约法	中華民國訓政時期約法	Provisional Constitution for the Period of Political Tutelage of the Republic of China	zhong1 hua2 min2 guo2 xun4 zheng4 shi2 qi1 yue1 fa3	unclassified	待核查	TW	statute	憲法法庭書記廳		tw-judicial:109	tw-judicial-7dc5c31a572629e53241	OGDL-Taiwan-1.0	source_attributed			
中华民国领海及邻接区法	中華民國領海及鄰接區法	Law on the Territorial Sea and the Contiguous Zone of the Republic of China	zhong1 hua2 min2 guo2 ling3 hai3 ji2 lin2 jie1 qu1 fa3	unclassified	待核查	TW	statute	憲法法庭書記廳		tw-judicial:111	tw-judicial-b3d3c6483b8ef8cc7e78	OGDL-Taiwan-1.0	source_attributed			
中央主管机关	中央主管機關	central governing authority	zhong1 yang1 zhu3 guan3 ji1 guan1	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:97	tw-judicial-383505ad2cf9af7fb9ef	OGDL-Taiwan-1.0	source_attributed			
中央健康保险局	中央健康保險局	Bureau of National Health Insurance	zhong1 yang1 jian4 kang1 bao3 xian3 ju2	unclassified	待核查	TW	unclassified	憲法法庭書記廳		tw-judicial:104	tw-judicial-1aa1b5b3b95ab2ebe678	OGDL-Taiwan-1.0	source_attributed			
中央公教人员福利互助办法	中央公教人員福利互助辦法	Regulations Governing the Fringe Benefits and Mutual Assistance for Civil and Teaching Personnel of Central Government	zhong1 yang1 gong1 jiao4 ren2 yuan2 fu2 li4 hu4 zhu4 ban4 fa3	unclassified	待核查	TW	statute	憲法法庭書記廳		tw-judicial:96	tw-judicial-f9fd047c87f38f532754	OGDL-Taiwan-1.0	source_attributed			
中央政府兴建台湾北部第二高速公路建设公债发行条例	中央政府興建台灣北部第二高速公路建設公債發行條例	Act Governing the Issuance of the Public Construction Bond by the Central Government for Building Second Taiwan North Highway	zhong1 yang1 zheng4 fu3 xing1 jian4 tai2 wan1 bei3 bu4 di4 er4 gao1 su4 gong1 lu4 jian4 she4 gong1 zhai4 fa1 xing2 tiao2 li4	unclassified	待核查	TW	statute	憲法法庭書記廳		tw-judicial:102	tw-judicial-5d19dcb1c341ea3a4e63	OGDL-Taiwan-1.0	source_attributed			
